medallion, hack_license, vendor_id, pickup_datetime, payment_type, fare_amount, surcharge, mta_tax, tip_amount, tolls_amount, total_amount
2C159C8FCCDE50174CF6CFC07E75F1BA,51C567531541EE45C5EE86E956E46E4C,CMT,2013-01-07 04:45:14,CSH,5.5,0.5,0.5,0,0,6.5
1F03ADDC384F4C5FB5E760528D4E0BA5,6607D2680127BFBCFF94193B15578DE7,CMT,2013-01-01 18:45:02,CSH,5.5,0,0.5,0,0,6
764CA5AE502C0FEC9BB69DBCB6BB4ECC,26516CD746248B3495CBD99A8ABAF8B4,CMT,2013-01-05 20:51:53,CSH,12,0.5,0.5,0,0,13
CD9DEF073BAB75B8B36015D85FD3F777,80430F0667E3C82E63AAF4F0DC547664,CMT,2013-01-05 03:20:28,CSH,32.5,0.5,0.5,0,0,33.5
DD98E2C3AF5C47B4449F720ECC5778D4,79807332B275653A2473554C7328500A,CMT,2013-01-02 06:58:08,CSH,2.5,0,0.5,0,4.8,7.8
26FC1764E8F96A8233F8C77F21D4161A,D8512BDC6E6DBF909DCC78174F02DA41,CMT,2013-01-06 00:46:25,CSH,17,0.5,0.5,0,0,18
4A4DA06C65CFA356CD538AF4B899430E,7CE1605151178F02B4EBBD8472C86A13,CMT,2013-01-02 08:12:21,CSH,11,0,0.5,0,0,11.5
764CA5AE502C0FEC9BB69DBCB6BB4ECC,26516CD746248B3495CBD99A8ABAF8B4,CMT,2013-01-05 19:45:00,CSH,9,0,0.5,0,0,9.5
E8950C1BF2CE598E95DE0CA5C89FA4BA,E4D2F480F3C91138B7BA9F1BDE710434,CMT,2013-01-05 21:23:06,CSH,3.5,0.5,0.5,0,0,4.5
99115D1EA0AE33939899D652DCC34089,A91627126C0D01A3752C7687EFEF9478,CMT,2013-01-05 01:12:58,CSH,52,0,0.5,0,4.8,57.3
9BB803DFE81D89F77C37D4C05BB1ABA1,797E4DBEC1C53DBC3196540342C64D4B,CMT,2013-01-06 10:56:31,CSH,8,0,0.5,0,0,8.5
8F9B593AE29F10B40EBEA0BBDEDD249F,61AF8331CB51E436B747478FC0E78B67,CMT,2013-01-07 17:38:07,CSH,30,1,0.5,0,4.8,36.3
0B57B9633A2FECD3D3B1944AFC7471CF,CCD4367B417ED6634D986F573A552A62,CMT,2013-01-07 14:38:35,CSH,6.5,0,0.5,0,0,7
0B57B9633A2FECD3D3B1944AFC7471CF,CCD4367B417ED6634D986F573A552A62,CMT,2013-01-07 10:35:10,CSH,7,0,0.5,0,0,7.5
0B57B9633A2FECD3D3B1944AFC7471CF,CCD4367B417ED6634D986F573A552A62,CMT,2013-01-07 14:46:55,CSH,7.5,0,0.5,0,0,8
E12F6AF991172EAC3553144A0AF75A19,06918214E951FA0003D1CC54955C2AB0,CMT,2013-01-08 15:17:50,CSH,7,0,0.5,0,0,7.5
2C0E91FF20A856C891483ED63589F982,1DA2F6543A62B8ED934771661A9D2FA0,CMT,2013-01-07 18:24:11,CSH,10.5,1,0.5,0,0,12
78FFD9CD0CDA541F335EF8B38FB494D6,E949C583ECF62C8F03FDCE1484954A08,CMT,2013-01-10 12:20:38,CSH,6.5,0,0.5,0,0,7
FAE1370A694D0621FAE1E62FAFD64080,265B3D7D30A9B7AE389A2626F6825266,CMT,2013-01-07 10:15:19,CSH,5.5,0,0.5,0,0,6
32D306FD3A4D7CEDCFD8D644294DD5B7,05EACD5B806FC3D01A377606D37CF327,CMT,2013-01-08 13:56:41,CSH,10,0,0.5,0,0,10.5
D8AADA4E722C87C10E609654612630DD,8F1E4F779A4D67431C3FCFA4E70A87DC,CMT,2013-01-10 17:19:42,CSH,24,1,0.5,0,0,25.5
A5A69FAD94C3DC7854F9DDEA994B6380,178BA04DD1A4E3A184C86AA3F110A742,CMT,2013-01-10 13:16:11,CSH,10.5,0,0.5,0,0,11
7D99C30FCE69B1A9DD27E2AEAC9BFA0C,460C3F57DD9CB2265DB75B14CD70224D,CMT,2013-01-08 00:02:36,CSH,4.5,0.5,0.5,0,0,5.5
5E162F2D7F569949769648C56A23C525,6F7932F2B112DAABF1F2A385FE2AB819,CMT,2013-01-07 17:54:25,CSH,8,1,0.5,0,0,9.5
82420BD631D2BB88E2F213A8CA15BECE,213779F7AA40E58009B3457E3FA7089D,CMT,2013-01-08 10:38:22,CSH,14,0,0.5,0,0,14.5
1836E1591EE79F810104064B945747AB,18EDD3FC80A78DC262E2442FEEA55F01,CMT,2013-01-07 20:13:25,CSH,13,0.5,0.5,0,0,14
1836E1591EE79F810104064B945747AB,18EDD3FC80A78DC262E2442FEEA55F01,CMT,2013-01-08 01:15:53,CSH,8,0.5,0.5,0,0,9
8FCED8833E91F75673B4B4B4A7D720AB,C8DB0DEAF651336169544E466AFF2DA1,CMT,2013-01-07 18:12:27,CSH,8.5,1,0.5,0,0,10
47CFD616C057758044C57D1B4BEFE759,A6DCBA545B1E1A2DC24BFEE1C0A54029,CMT,2013-01-07 18:45:40,CSH,10.5,1,0.5,0,0,12
4728FA63A46613319446ED726626FED3,4A6C8D08FAB98E9C9B21399C5255EED0,CMT,2013-01-08 11:33:23,CSH,10,0,0.5,0,0,10.5
0C5296F3C8B16E702F8F2E06F5106552,D2363240A9295EF570FC6069BC4F4C92,CMT,2013-01-07 20:46:10,CSH,34,0.5,0.5,0,0,35
0CC08DE5645A7137059499EA11886805,4F2627F9FD34A9B9EFCCFC5147048345,CMT,2013-01-07 18:45:14,CSH,6.5,1,0.5,0,0,8
