medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
7A9728FFD700148BF60616DA97FFC3C3,D25781FA72D2C328B9F120736E6CAA68,CMT,1,N,2013-01-08 10:59:25,2013-01-08 11:04:35,1,310,.60,-73.960358,40.769138,-73.961914,40.775684
4C005EEBAA7BF26B84B21586332488A2,351BE7D984BE17DB2FA80A748E816472,CMT,1,N,2013-01-07 20:49:38,2013-01-07 21:11:19,2,1301,9.50,-73.874374,40.774078,-73.978325,40.764835
DDB3F3E0172B1FBF0C9E39CA773CC6E3,559F071794B7213986693B57DCEDDEE5,CMT,1,N,2013-01-07 18:42:42,2013-01-07 18:49:53,1,431,1.00,0,0,0,0
DDB3F3E0172B1FBF0C9E39CA773CC6E3,559F071794B7213986693B57DCEDDEE5,CMT,1,N,2013-01-07 20:19:22,2013-01-07 20:23:10,1,227,1.00,0,0,0,0
32D306FD3A4D7CEDCFD8D644294DD5B7,05EACD5B806FC3D01A377606D37CF327,CMT,1,N,2013-01-08 10:17:06,2013-01-08 10:36:58,1,1191,3.60,-73.985962,40.758213,-73.950424,40.783554
0A3EF18FFD7FA5327C66C6B1CE068F3A,E8BD33FAF31C98E52D1E45A60216113B,CMT,1,N,2013-01-01 23:26:42,2013-01-01 23:49:24,2,1361,18.90,-73.783318,40.648636,-73.964249,40.719543
B14118AD4BF381D80035EF546CE7AEFA,9DCEE90343F24D475B3A19A3F10AE801,CMT,1,N,2013-01-10 14:11:57,2013-01-10 14:29:37,1,1059,3.30,-74.00843,40.707649,-73.992279,40.749187
C6CE309A20A523E64FDCDECF150A2EC1,3DC3C9552D190C5D26B0358C23E449A6,CMT,1,N,2013-01-10 12:08:05,2013-01-10 12:12:11,1,245,.80,-73.987953,40.761723,-73.989838,40.756985
C6CE309A20A523E64FDCDECF150A2EC1,3DC3C9552D190C5D26B0358C23E449A6,CMT,1,N,2013-01-10 07:07:59,2013-01-10 07:19:41,1,701,3.80,-73.994026,40.719303,-73.978729,40.762787
5E162F2D7F569949769648C56A23C525,6F7932F2B112DAABF1F2A385FE2AB819,CMT,1,N,2013-01-08 03:13:19,2013-01-08 03:34:17,1,1258,9.10,-73.997856,40.756405,-73.872955,40.774406
82420BD631D2BB88E2F213A8CA15BECE,213779F7AA40E58009B3457E3FA7089D,CMT,1,N,2013-01-08 10:21:01,2013-01-08 10:24:02,1,181,.60,-73.988632,40.73122,-73.986717,40.738674
